team,rs08/09,po08/09,gr08/09,rs09/10,po09/10,gr09/10,rs10/11,po10/11,gr10/11,rs11/12,po11/12,gr11/12,rs12/13,po12/13,gr12/13,rs13/14,po13/14,gr13/14,rs14/15,po14/15,gr14/15,rs15/16,po15/16,gr15/16,rs16/17,po16/17,gr16/17,rs17/18,po17/18,gr17/18,rs18/19,po18/19,gr18/19,rs19/20,po19/20,gr19/20,rs21/22,po21/22,gr21/22,rsMedian,grMedian
ZSC Lions,7720,8698,1.126683938,7749,8948,1.154729643,7640,10050,1.315445026,7625,10843,1.422032787,8745,10541,1.2053745,9048,10082,1.114279399,9331,10447,1.119601329,9818,10633,1.083010796,9214,10348,1.123073584,8863,11014,1.242694347,9694,,,8975,,,8020,10239,1.276683292,8863,1.15
SCL Tigers,5788,,,5235,,,5374,6550,1.21883141,5290,,,5355,,,,,,,,,5868,,,5779,,,5777,,,5747,6000,1.044022969,5549,,,4742,,,5549,1.13
SC Rapperswil-Jona Lakers,4816,,,4754,,,4363,,,4135,,,4566,,,4361,,,4276,,,,,,,,,,,,3985,,,4050,,,3927,6100,1.553348612,4319,1.55
SC Bern,16172,16464,1.018055899,15709,16931,1.077789802,15856,16856,1.063067608,15779,16979,1.076050447,16330,16780,1.027556644,16347,,,16164,16693,1.032727048,16145,17031,1.054877671,16399,17031,1.038538935,16371,16658,1.017531,16290,16687,1.02437078,15588,,,13348,,,16164,1.04
Lausanne HC,,,,,,,,,,,,,,,,6528,8000,1.225490196,6711,7557,1.12606169,6692,,,6567,7600,1.15730166,6282,,,6498,6700,1.031086488,8206,,,6052,9600,1.586252479,6548,1.16
HC Lugano,3992,5374,1.346192385,4136,4348,1.051257253,4060,,,4125,5583,1.353454545,4725,5647,1.195132275,5040,5302,1.051984127,5559,6139,1.104335312,5783,7433,1.285319039,5911,7139,1.207748266,5762,6910,1.199236376,6301,7037,1.116806856,5679,,,4960,5984,1.206451613,5040,1.2
HC Davos,4195,6001,1.430512515,4514,5120,1.134249003,4524,5982,1.322281167,4544,5355,1.178477113,4784,5576,1.165551839,4782,5359,1.120660811,4763,5950,1.249212681,4822,5796,1.201990875,4792,6050,1.262520868,4681,5383,1.149967956,4307,,,4444,,,3988,5613,1.407472417,4544,1.2
HC Ambri-Piotta,3608,,,3490,,,3657,,,3707,,,4859,,,5631,5902,1.048126443,5154,,,5298,,,4955,,,4730,,,5489,6295,1.146839133,4996,,,6017,,,4955,1.1
HC Ajoie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3626,,,3626,1.31
Genève-Servette HC,6099,6350,1.041154288,6554,7037,1.073695453,6922,7382,1.066454782,6769,,,6967,7135,1.024113679,7722,7120,0.922040922,6619,7007,1.058619127,6556,6928,1.056741916,6135,6727,1.096495518,5928,6272,1.05802969,6019,7026,1.167303539,5801,,,4833,,,6554,1.06
Fribourg-Gottéron,6169,7125,1.15496839,6969,7000,1.004448271,6764,6700,0.990538143,6636,6800,1.024713683,6537,6700,1.024934985,6570,6700,1.01978691,6261,,,6156,6302,1.023716699,5758,,,5889,6418,1.089828494,6077,,,5935,,,8324,8934,1.073282076,6261,1.02
EV Zug,4533,6380,1.407456431,4316,5884,1.363299351,6295,6514,1.034789515,6265,6904,1.101995211,6302,7015,1.113138686,6159,,,6366,7015,1.101947848,6486,7015,1.081560284,6436,6999,1.087476694,6983,7200,1.031075469,6952,7193,1.034666283,6574,,,6708,7200,1.073345259,6366,1.09
EHC Kloten,4772,7035,1.474224644,5849,7424,1.269276799,5695,7423,1.303424056,6041,7077,1.171494786,5366,,,5627,7256,1.289497068,5262,,,4790,6523,1.361795407,5229,,,5356,,,,,,,,,,,,5361,1.3
EHC Biel-Bienne,5015,,,4901,,,4526,,,4749,5550,1.168667088,4909,6090,1.240578529,4651,,,4676,6035,1.29063302,5896,,,5415,6521,1.204247461,5369,6521,1.214565096,6028,6521,1.081785003,5696,,,5263,6401,1.216226487,5015,1.21
